"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"SQ_CANDIDATO";"NR_ORDEM_BEM_CANDIDATO";"CD_TIPO_BEM_CANDIDATO";"DS_TIPO_BEM_CANDIDATO";"DS_BEM_CANDIDATO";"VR_BEM_CANDIDATO";"DT_ULT_ATUAL_BEM_CANDIDATO";"HH_ULT_ATUAL_BEM_CANDIDATO"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;1;13;"Terreno";"64,08% DE TERRENO LOCALIZADO NO DISTRITO DO RIACHO GRANDE, SÃO BERNARDO DO CAMPO";"265000,00";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;3;71;"Fundo de Curto Prazo";"FUNDO DI PLUS AGIL";"132834,20";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;4;99;"OUTROS BENS E DIREITOS";"CREDITO DECORRENTE DO DISTRATO DATADO  EM 11/2015., COM SOLICITACAO DE RESGATE,  DA QUOTA PARTE DO TERMO DE ADESAO E COMPROMISSO DE PARTICIPACAO PARA  IMPLANTACAO E CONSTRUCAO ATRAVES DA BANCOOP";"179298,96";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;2;32;"Quotas ou quinhões de capital";"98% DO CAPITAL SOCIAL DA L.I.L.S PALESTRAS, EVENTOS E PUBLICAÇÕES";"49000,00";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;5;97;"VGBL - Vida Gerador de Benefício Livre";"BANCO BRADESCO";"1380000,00";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;7;11;"Apartamento";"50% DO APARTAMENTO LOCALIZADO EM SÃO BERNARDO DO CAMPO";"94571,25";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;6;41;"Caderneta de poupança";"CADERNETA DE POUPANÇA";"0,13";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;8;13;"Terreno";"26,68% DE SÍTIO  NO DISTRITO DE RIACHO GRANDE, SÃO BERNARDO DO CAMPO";"130000,00";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;9;49;"Outras aplicações e Investimentos";"APLICAÇÃO FINANCEIRA - BANCO DO BRASIL";"485,39";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;10;73;"Fundo de Investimento Imobiliário";"TVRI11";"50000,00";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;12;45;"Aplicação de renda fixa (CDB, RDB e outros)";"BRADESCO FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO RENDA FIXA SIMPLES";"6277,62";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;11;41;"Caderneta de poupança";"SALDO EM CADERNETA DE POUPANÇA";"14,99";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;13;16;"Construção";"CASA EM CONSTRUÇÃO SÃO BERNARDO DO CAMPO";"246918,82";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;16;61;"Depósito bancário em conta corrente no País";"BRADESCO";"56671,07";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;15;13;"Terreno";"SITUADO NO DISTRITO DE RIACHO GRANDE EM SÃO BERNARDO DO CAMPO";"2733,45";"26/08/2026";"18:45:47"
"30/08/2026";"19:30:40";2026;2;"Eleição Ordinária";6257;"Eleição Geral Federal 2026";"04/10/2026";"BR";"BR";"BRASIL";280002542548;14;21;"Veículo automotor terrestre: caminhão, automóvel, moto, etc.";"MARCA CHEVROLET, ANO 2010/2011";"50000,00";"26/08/2026";"18:45:47"
