candidato;projetos_camara;aprovados_camara;materias_senado;tramitando_senado;nao_tramitando_senado
FLAVIO BOLSONARO;0;0.0;444;183.0;261.0
RONALDO CAIADO;144;5.0;402;5.0;397.0
