idProposicao;idDeputadoAutor;nomeAutor;siglaPartidoAutor;siglaUFAutor;ordemAssinatura;proponente;ano_x;candidato;siglaTipo;numero;ano_y;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;urlInteiroTeor;ultimoStatus_dataHora;ultimoStatus_descricaoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_apreciacao;ultimoStatus_url;tema_principal;temas;situacao;tramitacao;aprovado
133686;74813.0;Ronaldo Caiado;PFL;GO;43;0;2003;RONALDO CAIADO;PEC;165;2003;Proposta de Emenda à Constituição;Acrescenta dispositivos aos arts. 4º, 14, 16, 49, 53, 57, 59 e 102 da Constituição Federal, visando instituir o voto direto para eleição de parlamentares latino-americanos.;Estabelece critérios para eleição de candidatos para mandato eletivo em organização supranacional, cujos parlamentares terão  competência para celebrar tratado e aprovar lei supranacional.;Constituição Federal (1988), critério, elegibilidade, voto, eleição, candidato, parlamentar, representante, participação, País, Brasil, Parlamento Latino-Americano, garantia, imunidade parlamentar, prerrogativa, competência, celebração, ato internacional, tratado, vigência, eficácia, legislação, norma jurídica.;2003-09-17T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=164440;2015-03-19T09:46:00;Desarquivamento a Pedido;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1310903;Política, Partidos e Eleições;Política, Partidos e Eleições | Relações Internacionais e Comércio Exterior;Arquivada;Desarquivamento a Pedido;False
134956;74813.0;Ronaldo Caiado;PFL;GO;148;0;2003;RONALDO CAIADO;PEC;172;2003;Proposta de Emenda à Constituição;Modifica a data da posse do Presidente da República, dos Governadores de Estado e Prefeitos Municipais.;Dispõe que a data de posse do Presidente da República, Governadores, e Prefeitos será no primeiro dia útil do mês de janeiro.;Fixação, data, posse, candidato eleito, eleições, Presidente da República, Governador Estadual, Distrito Federal, Prefeito Municipal.;2003-09-24T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=166720;2019-02-20T20:07:00;Desarquivamento a Pedido;Tramitando em Conjunto;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1711943;Administração Pública;Administração Pública | Política, Partidos e Eleições;Tramitando em Conjunto;Desarquivamento a Pedido;False
139624;74813.0;Ronaldo Caiado;PFL;GO;37;0;2003;RONALDO CAIADO;PEC;186;2003;Proposta de Emenda à Constituição;Suprime expressão e dá nova redação ao art. 149 da Constituição Federal.;"Extingue a competência privativa da União para fixar o valor da contribuição social devida aos Conselhos que fiscalizam as categorias profissionais; altera a Constituição Federal de 1988.";Constituição Federal(1988), Sistema Tribuário Nacional, exclusão, competência privativa, União, fixação, valor, contribuição social, anuidade, Conselho Federal, Conselho Regional, categoria profissional, Conselho de Fiscalização Profissional.;2003-10-28T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=175570;2012-01-27T00:00:00;Notificações;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1014625;Trabalho e Emprego;Trabalho e Emprego;Arquivada;Notificações;False
139625;74813.0;Ronaldo Caiado;PFL;GO;42;0;2003;RONALDO CAIADO;PEC;187;2003;Proposta de Emenda à Constituição;"Concede legitimidade ativa ""ad causam"" aos Conselhos Federais de Fiscalização do Exercício Profissional para interpor Ação Direta de Inconstitucionalidade.";Altera o art. 103, inciso VII, da Constituição Federal de 1988.;Alteração, Constituição Federal, Judiciário, concessão, legitimidade ativa, Conselho Federal, Conselho de Fiscalização Profissional, interposição, Ação Direta de Inconstitucionalidade.;2003-10-28T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=175571;2012-05-18T00:00:00;Notificações;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1014627;Administração Pública;Administração Pública | Trabalho e Emprego;Arquivada;Notificações;False
139936;74813.0;Ronaldo Caiado;PFL;GO;44;0;2003;RONALDO CAIADO;PEC;188;2003;Proposta de Emenda à Constituição;Modifica o parágrafo 4º do art. 225 da Constituição Federa, incluindo o Cerrado na lista dos biomas considerados patrimônio nacional.;;Inclusão, Cerrado, Patrimônio da União.;2003-10-29T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=176062;2023-01-31T00:00:00;Despacho de Apensação;Tramitando em Conjunto;Proposição Sujeita à Apreciação do Plenário;;Meio Ambiente e Desenvolvimento Sustentável;Meio Ambiente e Desenvolvimento Sustentável;Tramitando em Conjunto;Despacho de Apensação;False
140785;74813.0;Ronaldo Caiado;PFL;GO;161;0;2003;RONALDO CAIADO;PEC;190;2003;Proposta de Emenda à Constituição;Modifica o art. 212 da Constituição Federal e acrescenta novo artigo ao Ato das Disposições Constitucionais Transitórias.;"Aumenta para 25% (vinte e cinco por cento) a participação financeira da União em Educação; estabelece o caráter permanente do FUNDEF; cria Fundos para o ensino infantil e médio; altera a Constituição Federal de 1988.";Constituição Federal (1988), Educação, aumento, percentual,  União,  aplicação, recursos, ensino público, , caráter permanente, Fundo de Manutenção e Desenvolvimento do Ensino Fundamental e de Valorização do Magistério (Fundef), criação, Fundos, educação infantil, ensino médio, recursos, receita tributária, Imposto sobre Operações relativas à Circulação de Mercadorias e sobre Prestações de Serviços de Transporte Interestadual e Intermunicipal e de Comunicação (ICMS), Imposto sobre Produtos Industrializados (IPI), Fundo de Participação dos Municípios (FPM), Fundo de Participação dos Estados e do Distrito Federal (FPE), critérios, rateio, complementação, recursos públicos, repasse, Estado (ente federado), Município, tributação.;2003-11-05T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=177720;2007-04-24T00:00:00;Desarquivamento;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=541743;Administração Pública;Administração Pública | Educação | Finanças Públicas e Orçamento;Arquivada;Desarquivamento;False
140876;74813.0;Ronaldo Caiado;PFL;GO;41;0;2003;RONALDO CAIADO;PEC;191;2003;Proposta de Emenda à Constituição;Dá nova redação ao art. 142 e acrescenta o inciso I e o §1º ao art. 144 da Constituição Federal.;"Estabelece a competência das Forças Armadas para garantir a Segurança Pública; altera a Constituição Federal de 1988.";Alteração, Constituição Federal, competência, Forças Armadas, manutenção, Segurança Pública, coordenação, órgãos, segurança, recursos humanos, tecnologia.;2003-11-05T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=177822;2008-02-28T00:00:00;Notificações;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=540622;Defesa e Segurança;Defesa e Segurança;Arquivada;Notificações;False
141035;74813.0;Ronaldo Caiado;PFL;GO;52;0;2003;RONALDO CAIADO;PEC;192;2003;Proposta de Emenda à Constituição;Estende ao Estado de Roraima incentivos fiscais concedidos à Zona Franca de Manaus.;Altera a Constituição Federal de 1988.;Alteração, Constituição Federal, extensão, incentivo fiscal, Zona Franca de Manaus, Estado, (RR).;2003-11-05T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=178059;2015-03-19T09:46:00;Desarquivamento a Pedido;Arquivada;Proposição Sujeita à Apreciação do Plenário;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1310903;Economia;Economia;Arquivada;Desarquivamento a Pedido;False
143578;74813.0;Ronaldo Caiado;PFL;GO;182;0;2003;RONALDO CAIADO;PDC;1002;2003;Projeto de Decreto Legislativo de Referendo ou Plebiscito;"Convoca Plebiscito para consulta popular da redução ou não da maioridade.
.";;Convocação, população, plebiscito, consulta, redução, maioridade, responsabilidade penal, organização, Tribunal Superior Eleitoral (TSE), Tribunal Regional Eleitoral (TRE).;2003-11-19T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1279647;2026-02-10T11:00:00;Saída de Relator(a) da Comissão - Com Parecer Apresentado;Aguardando Designação de Relator(a);Proposição Sujeita à Apreciação do Plenário;;Direito Penal e Processual Penal;Direito Penal e Processual Penal | Política, Partidos e Eleições;Aguardando Designação de Relator(a);Saída de Relator(a) da Comissão - Com Parecer Apresentado;False
145216;74813.0;Ronaldo Caiado;PFL;GO;153;0;2003;RONALDO CAIADO;PDC;1028;2003;Projeto de Decreto Legislativo de Referendo ou Plebiscito;Dispõe sobre a realização de plebiscito acerca da alteração da maioridade penal para dezesseis anos.;;Convocação, população, plebiscito, consulta, eleitorado, alteração, redução, maioridade, responsabilidade penal, organização, Justiça Eleitoral, realização, simultaneidade, eleição municipal.;2003-11-25T00:00:00;https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=184263;2024-06-05T00:00:00;Notificações;Tramitando em Conjunto;Proposição Sujeita à Apreciação do Plenário;;Administração Pública;Administração Pública | Política, Partidos e Eleições;Tramitando em Conjunto;Notificações;False
