candidato;codigo_materia;dados_tramitacao
FLAVIO_BOLSONARO;141305;
FLAVIO_BOLSONARO;167281;
FLAVIO_BOLSONARO;142533;
FLAVIO_BOLSONARO;137181;
FLAVIO_BOLSONARO;154645;
FLAVIO_BOLSONARO;172720;
FLAVIO_BOLSONARO;173589;
FLAVIO_BOLSONARO;152859;
FLAVIO_BOLSONARO;155883;
FLAVIO_BOLSONARO;158574;
FLAVIO_BOLSONARO;160038;
FLAVIO_BOLSONARO;164635;
FLAVIO_BOLSONARO;166127;
FLAVIO_BOLSONARO;165511;
FLAVIO_BOLSONARO;169361;
FLAVIO_BOLSONARO;171372;
FLAVIO_BOLSONARO;136027;
FLAVIO_BOLSONARO;137428;
FLAVIO_BOLSONARO;152320;
FLAVIO_BOLSONARO;155610;
FLAVIO_BOLSONARO;153531;
FLAVIO_BOLSONARO;155676;
FLAVIO_BOLSONARO;161820;
FLAVIO_BOLSONARO;165292;
FLAVIO_BOLSONARO;171665;
FLAVIO_BOLSONARO;156657;
FLAVIO_BOLSONARO;158997;
FLAVIO_BOLSONARO;159924;
FLAVIO_BOLSONARO;160593;
FLAVIO_BOLSONARO;160965;
FLAVIO_BOLSONARO;161698;
FLAVIO_BOLSONARO;163300;
FLAVIO_BOLSONARO;169924;
FLAVIO_BOLSONARO;163364;
FLAVIO_BOLSONARO;162140;
FLAVIO_BOLSONARO;155891;
FLAVIO_BOLSONARO;174418;
FLAVIO_BOLSONARO;135123;
FLAVIO_BOLSONARO;135125;
FLAVIO_BOLSONARO;135359;
FLAVIO_BOLSONARO;156915;
FLAVIO_BOLSONARO;171377;
FLAVIO_BOLSONARO;135163;
FLAVIO_BOLSONARO;136400;
FLAVIO_BOLSONARO;137883;
FLAVIO_BOLSONARO;138153;
FLAVIO_BOLSONARO;148615;
FLAVIO_BOLSONARO;155251;
FLAVIO_BOLSONARO;160083;
FLAVIO_BOLSONARO;167042;
FLAVIO_BOLSONARO;163663;
FLAVIO_BOLSONARO;135389;
FLAVIO_BOLSONARO;137697;
FLAVIO_BOLSONARO;149286;
FLAVIO_BOLSONARO;155952;
FLAVIO_BOLSONARO;156424;
FLAVIO_BOLSONARO;161570;
FLAVIO_BOLSONARO;158826;
FLAVIO_BOLSONARO;158333;
FLAVIO_BOLSONARO;169981;
FLAVIO_BOLSONARO;170061;
FLAVIO_BOLSONARO;164256;
FLAVIO_BOLSONARO;170022;
FLAVIO_BOLSONARO;168834;
FLAVIO_BOLSONARO;171329;
FLAVIO_BOLSONARO;151756;
FLAVIO_BOLSONARO;136441;
FLAVIO_BOLSONARO;140268;
